source_name,target_name,rating,time,str_time
Walter Hatch,Paul Blaylock,4,1289241912,2010-11-09 3:45
Walter Hatch,Sean Hopkins,2,1289241942,2010-11-09 3:45
Don Hudson,Edwin Owens,1,1289243140,2010-11-09 4:05
Ronald Hale,Joshua Hume,7,1289245277,2010-11-09 4:41
Ryan Beltrami,Loren Nguyen,8,1289254254,2010-11-09 7:10
Ryan Beltrami,David Gentry,8,1289254301,2010-11-09 7:11
John Spellman,Sean Hopkins,1,1289362700,2010-11-10 13:18
Paul Blaylock,Gladys Davis,5,1289370557,2010-11-10 15:29
Paul Blaylock,Edna Smith,5,1289370622,2010-11-10 15:30
Gladys Davis,Paul Blaylock,5,1289380982,2010-11-10 18:23
Gladys Davis,Don Hudson,8,1289441411,2010-11-11 11:10
Gladys Davis,David Gentry,8,1289441438,2010-11-11 11:10
Gladys Davis,Anna Yeager,9,1289441451,2010-11-11 11:10
Gladys Davis,Joshua Hume,7,1289441526,2010-11-11 11:12
Juanita Vincent,Joshua Hume,5,1289442313,2010-11-11 11:25
Juanita Vincent,Judy Phan,1,1289489668,2010-11-12 0:34
David Gentry,Don Hudson,8,1289555656,2010-11-12 18:54
David Gentry,Walter Hatch,7,1289555731,2010-11-12 18:55
David Gentry,Gladys Davis,8,1289555746,2010-11-12 18:55
David Gentry,Anna Yeager,1,1289555768,2010-11-12 18:56
David Gentry,Julie Goldberg,10,1289555842,2010-11-12 18:57
David Gentry,Paul Blaylock,7,1289555871,2010-11-12 18:57
David Gentry,Joshua Hume,7,1289555876,2010-11-12 18:57
Ronald Hale,Alan Smith,1,1289641694,2010-11-13 18:48
Alan Smith,Ronald Hale,1,1289641704,2010-11-13 18:48
Sean Hopkins,Don Hudson,3,1289660299,2010-11-13 23:58
Sean Hopkins,Walter Hatch,3,1289660319,2010-11-13 23:58
Sean Hopkins,John Spellman,1,1289660347,2010-11-13 23:59
Don Hudson,Sean Hopkins,4,1289710643,2010-11-14 13:57
Walter Hatch,Ronald Hale,2,1289770700,2010-11-15 6:38
Ronald Hale,Walter Hatch,5,1289770757,2010-11-15 6:39
Paul Blaylock,Ronald Hale,5,1289771304,2010-11-15 6:48
Juanita Vincent,Angela Sullivan,1,1289836082,2010-11-16 0:48
Juanita Vincent,Ryan Beltrami,2,1289873368,2010-11-16 11:09
Ryan Beltrami,Juanita Vincent,2,1289873612,2010-11-16 11:13
Ryan Beltrami,Felicia Miller,2,1290088212,2010-11-18 22:50
Felicia Miller,Ryan Beltrami,2,1290090118,2010-11-18 23:21
Juanita Vincent,Edna Smith,2,1290108487,2010-11-19 4:28
Ronald Hale,Clarice Sell,1,1290197549,2010-11-20 5:12
Clarice Sell,Ronald Hale,2,1290197554,2010-11-20 5:12
Lisa Barton,Walter Hatch,1,1290300442,2010-11-21 9:47
Ryan Beltrami,Don Hudson,8,1290520564,2010-11-23 22:56
John Spellman,Sue Mccormack,1,1290644458,2010-11-25 9:20
Sue Mccormack,John Spellman,1,1290644477,2010-11-25 9:21
Lisa Barton,Don Hudson,1,1290666928,2010-11-25 15:35
Don Hudson,Lisa Barton,1,1290666953,2010-11-25 15:35
Don Hudson,Sue Mccormack,1,1290750434,2010-11-26 14:47
Sue Mccormack,Don Hudson,1,1290752776,2010-11-26 15:26
Sue Mccormack,Ryan Beltrami,1,1290758643,2010-11-26 17:04
Ryan Beltrami,Sue Mccormack,1,1290761557,2010-11-26 17:52
Walter Hatch,John Spellman,5,1290826367,2010-11-27 11:52
John Spellman,Walter Hatch,3,1290826591,2010-11-27 11:56
Don Hudson,Juanita Vincent,9,1290969237,2010-11-29 3:33
Don Hudson,Clarice Sell,2,1291052765,2010-11-30 2:46
Clarice Sell,Don Hudson,3,1291055973,2010-11-30 3:39
Judy Davis,Walter Hatch,2,1291056175,2010-11-30 3:42
Don Hudson,Ryan Beltrami,3,1291090931,2010-11-30 13:22
Susan Wyse,Johnathan Basso,1,1291157823,2010-12-01 7:57
Johnathan Basso,Susan Wyse,1,1291159845,2010-12-01 8:30
Judy Davis,Don Hudson,1,1291159911,2010-12-01 8:31
Juanita Vincent,Don Hudson,9,1291217882,2010-12-02 0:38
Anna Yeager,Don Hudson,3,1291315232,2010-12-03 3:40
John Spellman,Felicia Miller,2,1291376110,2010-12-03 20:35
Don Hudson,Edna Smith,2,1291505266,2010-12-05 8:27
Johnathan Basso,Hilda Ohmen,1,1291515528,2010-12-05 11:18
Hilda Ohmen,Johnathan Basso,1,1291515697,2010-12-05 11:21
John Mancilla,Harold Bailey,1,1291578872,2010-12-06 4:54
John Mancilla,John Spellman,3,1291590274,2010-12-06 8:04
John Mancilla,Hilda Ohmen,1,1291591178,2010-12-06 8:19
Hilda Ohmen,John Mancilla,1,1291591212,2010-12-06 8:20
Judy Phan,Juanita Vincent,1,1291623781,2010-12-06 17:23
Judy Phan,Walter Schick,1,1291623788,2010-12-06 17:23
Susan Wyse,Lionel Parker,1,1291684580,2010-12-07 10:16
Lionel Parker,Susan Wyse,1,1291684612,2010-12-07 10:16
John Simmons,Don Hudson,2,1291740271,2010-12-08 1:44
Ryan Beltrami,John Spellman,1,1291757016,2010-12-08 6:23
John Spellman,Ryan Beltrami,1,1291757032,2010-12-08 6:23
Felicia Miller,John Santiago,1,1292070534,2010-12-11 21:28
John Santiago,Felicia Miller,1,1292071379,2010-12-11 21:42
Felicia Miller,Jeff Turpin,1,1292085237,2010-12-12 1:33
Jeff Turpin,Felicia Miller,1,1292085280,2010-12-12 1:34
Harold Bailey,John Mancilla,2,1292099161,2010-12-12 5:26
Harold Bailey,Mary Frey,2,1292189306,2010-12-13 6:28
Mary Frey,Harold Bailey,2,1292189413,2010-12-13 6:30
Harold Bailey,Geraldine Saleh,2,1292193828,2010-12-13 7:43
Geraldine Saleh,Harold Bailey,2,1292195062,2010-12-13 8:04
Don Hudson,Geraldine Saleh,1,1292196392,2010-12-13 8:26
Geraldine Saleh,Don Hudson,1,1292196407,2010-12-13 8:26
John Spellman,Joshua Hume,6,1292200462,2010-12-13 9:34
Susan Wyse,Terry Vick,2,1292206237,2010-12-13 11:10
Terry Vick,Susan Wyse,2,1292206272,2010-12-13 11:11
Susan Wyse,Gladys Davis,2,1292297573,2010-12-14 12:32
Gladys Davis,Susan Wyse,2,1292297608,2010-12-14 12:33
John Spellman,Susan Wyse,3,1292361186,2010-12-15 6:13
Susan Wyse,John Spellman,4,1292361299,2010-12-15 6:14
John Spellman,Mary Frey,4,1292442402,2010-12-16 4:46
Mary Frey,John Spellman,4,1292442433,2010-12-16 4:47
John Spellman,Laurie Rasmussen,1,1292447857,2010-12-16 6:17
Laurie Rasmussen,John Spellman,1,1292490376,2010-12-16 18:06
Felicia Miller,John Spellman,2,1292716197,2010-12-19 8:49
Ronald Hale,Taryn Garza,5,1292795818,2010-12-20 6:56
John Mancilla,Gladys Davis,2,1292819158,2010-12-20 13:25
Gladys Davis,John Mancilla,2,1292819329,2010-12-20 13:28
Ronald Hale,Amanda Gunter,2,1292823618,2010-12-20 14:40
Amanda Gunter,Ronald Hale,3,1292823672,2010-12-20 14:41
Amanda Gunter,Edna Smith,8,1292823684,2010-12-20 14:41
Amanda Gunter,Paul Blaylock,2,1292823728,2010-12-20 14:42
Judy Davis,John Fried,1,1292920839,2010-12-21 17:40
John Fried,Judy Davis,2,1292935948,2010-12-21 21:52
Jaime Hardy,Don Hudson,2,1292957157,2010-12-22 3:45
Don Hudson,Jaime Hardy,2,1292957196,2010-12-22 3:46
Ronald Hale,Pennie Arvan,2,1293050723,2010-12-23 5:45
Pennie Arvan,Ronald Hale,2,1293054743,2010-12-23 6:52
Gladys Davis,John Spellman,5,1293191605,2010-12-24 20:53
John Spellman,Edna Smith,4,1293409871,2010-12-27 9:31
Judy Davis,Eric Burlew,1,1293448473,2010-12-27 20:14
Judy Davis,John Woodward,1,1293448479,2010-12-27 20:14
John Mancilla,Eric Burlew,2,1293453342,2010-12-27 21:35
Eric Burlew,John Mancilla,2,1293453456,2010-12-27 21:37
Eric Burlew,Judy Davis,2,1293453463,2010-12-27 21:37
Don Hudson,Allen Ferullo,1,1293481238,2010-12-28 5:20
Allen Ferullo,Don Hudson,8,1293481552,2010-12-28 5:25
John Spellman,Angela Sullivan,2,1293481689,2010-12-28 5:28
Angela Sullivan,John Spellman,1,1293482235,2010-12-28 5:37
Ronald Hale,Yolanda Rivas,4,1293523499,2010-12-28 17:04
Don Hudson,Robert Cook,1,1293579274,2010-12-29 8:34
Robert Cook,Don Hudson,1,1293579281,2010-12-29 8:34
Terry Vick,Jeannine Gay,1,1293583961,2010-12-29 9:52
Michael Berry,Kate Lee,1,1293603105,2010-12-29 15:11
Misty Gardner,John Spellman,1,1293604544,2010-12-29 15:35
John Spellman,Misty Gardner,1,1293604590,2010-12-29 15:36
John Spellman,Walter Schick,5,1293632317,2010-12-29 23:18
